ano,classe,area_ha,bioma
2008,1 - Culturas perenes,7547.87,Amazônia
2008,1 - Culturas perenes,351842.88,Caatinga
2008,1 - Culturas perenes,734438.89,Cerrado
2008,1 - Culturas perenes,537283.09,Mata Atlântica
2008,1 - Culturas perenes,8276.84,Pampa
2008,10 - Silvicultura,144391.4,Amazônia
2008,10 - Silvicultura,169090.7,Caatinga
2008,10 - Silvicultura,2277511.3,Cerrado
2008,10 - Silvicultura,2330933.86,Mata Atlântica
2008,10 - Silvicultura,749344.39,Pampa
2008,11 - Veg. prim. florestal,14527308.11,Amazônia
2008,11 - Veg. prim. florestal,1426768.61,Caatinga
2008,11 - Veg. prim. florestal,42489610.58,Cerrado
2008,11 - Veg. prim. florestal,16293269.49,Mata Atlântica
2008,11 - Veg. prim. florestal,5243506.17,Pampa
2008,12 - Veg. sec. florestal,417670.34,Amazônia
2008,12 - Veg. sec. florestal,19932.66,Caatinga
2008,12 - Veg. sec. florestal,3336338.49,Cerrado
2008,12 - Veg. sec. florestal,636939.8,Mata Atlântica
2008,12 - Veg. sec. florestal,310673.59,Pampa
2008,13 - Veg. prim. não-florestal,71.19,Amazônia
2008,13 - Veg. prim. não-florestal,21777445.71,Caatinga
2008,13 - Veg. prim. não-florestal,99398529.31,Cerrado
2008,13 - Veg. prim. não-florestal,35614.89,Mata Atlântica
2008,13 - Veg. prim. não-florestal,0.0,Pampa
2008,14 - Veg. sec. não-florestal,0.0,Amazônia
2008,14 - Veg. sec. não-florestal,0.0,Caatinga
2008,14 - Veg. sec. não-florestal,5518044.89,Cerrado
2008,14 - Veg. sec. não-florestal,0.0,Mata Atlântica
2008,14 - Veg. sec. não-florestal,0.0,Pampa
2008,15 - Outro,10496863.96,Amazônia
2008,15 - Outro,1720857.88,Caatinga
2008,15 - Outro,7305994.16,Cerrado
2008,15 - Outro,3198022.29,Mata Atlântica
2008,15 - Outro,992481.09,Pampa
2008,2 - Soja,80791.76,Amazônia
2008,2 - Soja,22.23,Caatinga
2008,2 - Soja,4370126.15,Cerrado
2008,2 - Soja,2758319.01,Mata Atlântica
2008,2 - Soja,4965209.1,Pampa
2008,3 - Soja + Milho 2ª safra,8116.36,Amazônia
2008,3 - Soja + Milho 2ª safra,0.0,Caatinga
2008,3 - Soja + Milho 2ª safra,7844161.93,Cerrado
2008,3 - Soja + Milho 2ª safra,2494665.54,Mata Atlântica
2008,3 - Soja + Milho 2ª safra,0.0,Pampa
2008,4 - Milho 1ª safra,434606.94,Amazônia
2008,4 - Milho 1ª safra,1530580.0,Caatinga
2008,4 - Milho 1ª safra,3447721.65,Cerrado
2008,4 - Milho 1ª safra,2828993.36,Mata Atlântica
2008,4 - Milho 1ª safra,1385998.0,Pampa
2008,5 - Cana-de-açúcar,50176.31,Amazônia
2008,5 - Cana-de-açúcar,1217331.96,Caatinga
2008,5 - Cana-de-açúcar,1376409.51,Cerrado
2008,5 - Cana-de-açúcar,5974047.24,Mata Atlântica
2008,5 - Cana-de-açúcar,62573.22,Pampa
2008,6 - Outra agropecuária,456216.52,Amazônia
2008,6 - Outra agropecuária,6211908.91,Caatinga
2008,6 - Outra agropecuária,25903981.28,Cerrado
2008,6 - Outra agropecuária,15301204.51,Mata Atlântica
2008,6 - Outra agropecuária,5802661.99,Pampa
2008,7 - Pastagem deg. média,4692599.54,Amazônia
2008,7 - Pastagem deg. média,1841453.36,Caatinga
2008,7 - Pastagem deg. média,20355509.82,Cerrado
2008,7 - Pastagem deg. média,3273761.82,Mata Atlântica
2008,7 - Pastagem deg. média,116718.84,Pampa
2008,8 - Pastagem deg. alta,347472.67,Amazônia
2008,8 - Pastagem deg. alta,998794.19,Caatinga
2008,8 - Pastagem deg. alta,12014624.53,Cerrado
2008,8 - Pastagem deg. alta,1605838.23,Mata Atlântica
2008,8 - Pastagem deg. alta,10297.45,Pampa
2008,9 - Pastagem deg. baixa,6740897.39,Amazônia
2008,9 - Pastagem deg. baixa,1195357.11,Caatinga
2008,9 - Pastagem deg. baixa,8597961.78,Cerrado
2008,9 - Pastagem deg. baixa,2046949.38,Mata Atlântica
2008,9 - Pastagem deg. baixa,69230.9,Pampa
2009,1 - Culturas perenes,7437.8,Amazônia
2009,1 - Culturas perenes,368548.42,Caatinga
2009,1 - Culturas perenes,745267.56,Cerrado
2009,1 - Culturas perenes,534263.08,Mata Atlântica
2009,1 - Culturas perenes,8098.1,Pampa
2009,10 - Silvicultura,146916.06,Amazônia
2009,10 - Silvicultura,185823.32,Caatinga
2009,10 - Silvicultura,2507177.92,Cerrado
2009,10 - Silvicultura,2519339.23,Mata Atlântica
2009,10 - Silvicultura,809055.5,Pampa
2009,11 - Veg. prim. florestal,14449982.25,Amazônia
2009,11 - Veg. prim. florestal,1428700.33,Caatinga
2009,11 - Veg. prim. florestal,42372886.7,Cerrado
2009,11 - Veg. prim. florestal,16314932.43,Mata Atlântica
2009,11 - Veg. prim. florestal,5222330.21,Pampa
2009,12 - Veg. sec. florestal,451802.04,Amazônia
2009,12 - Veg. sec. florestal,20132.79,Caatinga
2009,12 - Veg. sec. florestal,3320669.26,Cerrado
2009,12 - Veg. sec. florestal,633142.74,Mata Atlântica
2009,12 - Veg. sec. florestal,310344.75,Pampa
2009,13 - Veg. prim. não-florestal,64.98,Amazônia
2009,13 - Veg. prim. não-florestal,21761317.98,Caatinga
2009,13 - Veg. prim. não-florestal,99091570.23,Cerrado
